"","Species","Model","AIC","dAIC","Beta","SigmaR","ABC_1yr","ABC_2yr"
"1","ATF","Base",1185.97276626839,305.19666413984,0,1.80340862912725,203216.065951355,120040.327490428
"2","ATF","Winter_lagged1_GOADI",928.934772424244,48.1586702956901,0.36493655794511,1.85383180482077,148590.620097065,117178.942849845
"3","ATF","Spring_lagged1_GOADI",1157.55111578486,276.775013656311,0.407611255933375,1.76988644198928,205161.004411619,118549.457361086
"4","ATF","Summer_lagged1_GOADI",1276.49841560245,395.722313473901,0.509917348531292,1.7854401891331,233098.470638053,113896.307367241
"5","ATF","Winter_lagged1_NGAO",899.524036394147,18.7479342655932,0.0241111926817601,1.94434235760952,136018.707433944,110090.247321915
"6","ATF","Spring_lagged1_NGAO",990.995644613929,110.219542485375,-0.0521397652039954,1.86059057457091,131231.904589871,102018.894674448
"7","ATF","Summer_lagged1_NGAO",880.776102128554,0,-0.029329580102556,1.68273691838957,141886.727066556,113331.807563182
