"","Species","Model","AIC","dAIC","Beta","SigmaR","ABC_1yr","ABC_2yr"
"1","Pollock","Base",1450.80753970748,2.83442293647477,0,1.01758166246257,172261.974870045,136949.888951362
"2","Pollock","Winter_lagged1_GOADI",1447.973116771,0,0.271617082407574,0.99640345574849,172808.036182321,133391.407034868
"3","Pollock","Spring_lagged1_GOADI",1450.19885597844,2.22573920743639,0.164750308311661,1.01303222505451,172893.620778437,136339.1340223
"4","Pollock","Summer_lagged1_GOADI",1449.67220783474,1.69909106373302,0.235704423693214,1.00876275721138,172243.786082863,134724.961796393
"5","Pollock","Winter_lagged1_NGAO",1450.72111697292,2.74800020191947,-0.0479971489324614,1.01707333147452,172225.210425011,137243.06096198
"6","Pollock","Spring_lagged1_NGAO",1448.90573742818,0.932620657179314,-0.21922695156127,1.00416744864869,172746.161553135,142717.301285784
"7","Pollock","Summer_lagged1_NGAO",1449.19879645019,1.22567967918803,-0.191947324718611,1.00592919339639,172916.278788386,144294.539137319
