"","Species","Model","AIC","dAIC","Beta","SigmaR","ABC_1yr","ABC_2yr"
"1","Northern rock fish","Base",70734.7017738333,65034.7909196279,0,1.31254827375339,0,0
"2","Northern rock fish","Winter_lagged1_GOADI",6155.09218958735,455.181335381913,-0.0799924549260121,2.35140495961956,283.096444153796,260.819132541429
"3","Northern rock fish","Spring_lagged1_GOADI",70720.0683288499,65020.1574746445,-0.0650363623253437,1.31159236732269,0,0
"4","Northern rock fish","Summer_lagged1_GOADI",7384.1686450225,1684.25779081706,-0.396973489590713,2.75563055043793,6.0145061369323,3.82855117761256
"5","Northern rock fish","Winter_lagged1_NGAO",5816.32883638538,116.417982179939,-0.457970946421572,1.38249370182353,681.168969377673,634.714430595273
"6","Northern rock fish","Spring_lagged1_NGAO",5699.91085420544,0,-0.509858650343022,1.213344315355,1471.89690638409,1355.86208057955
"7","Northern rock fish","Summer_lagged1_NGAO",73511.4015315429,67811.4906773375,0.319336000861537,1.28678890312478,0,0
