"","path","lag","name","start","parameter","first","second","direction","Estimate","Std_Error","z_value","p_value","Model","Species"
"1","recdevs1 <-> recdevs1",0,"sigmaR1",1,1,"recdevs1","recdevs1","2",0.648415206182765,0.068177847130619,9.51064361038704,1.89486511486132e-21,"Base","Cod"
"17","GOADI_spring            ->  SST_WGOA_spring",0,"GOADI_to_SST",0,1,"GOADI_spring","SST_WGOA_spring","1",-0.363958241825871,0.129221886143763,-2.81653714155633,0.00485444296502949,"DSEM","Cod"
"2","GOADI_spring            ->  BottomTemp_WGOA_winter",0,"GOADI_to_BT",0,2,"GOADI_spring","BottomTemp_WGOA_winter","1",-0.284626960939216,0.129962710405218,-2.19006636635817,0.0285194240347411,"DSEM","Cod"
"3","GOADI_spring            ->  Upwelling_WGOA_spring",0,"GOADI_to_Up",0,3,"GOADI_spring","Upwelling_WGOA_spring","1",0.144764729138248,0.129221886143725,1.12028026720827,0.262594348240096,"DSEM","Cod"
"4","NGAO_spring             ->  SST_WGOA_spring",0,"NGAO_to_SST",0,4,"NGAO_spring","SST_WGOA_spring","1",0.606620996686068,0.129221886143815,4.69441373120759,2.67372413473731e-06,"DSEM","Cod"
"5","NGAO_spring             ->  BottomTemp_WGOA_winter",0,"NGAO_to_BT",0,5,"NGAO_spring","BottomTemp_WGOA_winter","1",0.378771200775054,0.129436950022167,2.9262988714597,0.00343021226065556,"DSEM","Cod"
"6","NGAO_spring             ->  Upwelling_WGOA_spring",0,"NGAO_to_Up",0,6,"NGAO_spring","Upwelling_WGOA_spring","1",-0.077919881103706,0.129221886143726,-0.602992909552801,0.546513406125113,"DSEM","Cod"
"7","NGAO_spring             ->  Copepods_small_spring",0,"NGAO_to_Cop",0,7,"NGAO_spring","Copepods_small_spring","1",0.142609300927076,0.159012842119378,0.896841406180344,0.369803549800796,"DSEM","Cod"
"8","SST_WGOA_spring         ->  Copepods_small_spring",0,"SST_to_Cop",0,8,"SST_WGOA_spring","Copepods_small_spring","1",-0.10335415517812,0.14200665143134,-0.727812071733075,0.466728633826202,"DSEM","Cod"
"9","Upwelling_WGOA_spring   ->  BottomTemp_WGOA_winter",0,"Up_to_BT",0,9,"Upwelling_WGOA_spring","BottomTemp_WGOA_winter","1",0.107996603894582,0.095719140274032,1.12826550244184,0.259207807974567,"DSEM","Cod"
"10","SST_WGOA_spring         ->  recdevs1",1,"SST_to_R",0,10,"SST_WGOA_spring","recdevs1","1",0.105324627898193,0.220584051596686,0.477480702416184,0.633019859179919,"DSEM","Cod"
"11","BottomTemp_WGOA_winter  ->  recdevs1",1,"BT_to_R",0,11,"BottomTemp_WGOA_winter","recdevs1","1",-0.0260711303818165,0.208474300262936,-0.125056807236837,0.90047857760901,"DSEM","Cod"
"12","Copepods_small_spring   ->  recdevs1",1,"Cop_to_R",0,12,"Copepods_small_spring","recdevs1","1",0.0490167874315977,0.131378481612813,0.373096011080839,0.709076987390155,"DSEM","Cod"
"13","Upwelling_WGOA_spring   ->  recdevs1",1,"Up_to_R",0,13,"Upwelling_WGOA_spring","recdevs1","1",-0.245887384725906,0.0904449642851787,-2.71864096215028,0.00655507181858154,"DSEM","Cod"
"14","NGAO_spring             ->  recdevs1",1,"NGAO_to_R",0,14,"NGAO_spring","recdevs1","1",-0.0962136850168048,0.141037485162476,-0.682185199955641,0.49512185188077,"DSEM","Cod"
"15","GOADI_spring            ->  recdevs1",1,"GOADI_to_R",0,15,"GOADI_spring","recdevs1","1",0.116508322011998,0.218491261153426,0.533240191836252,0.593867322764137,"DSEM","Cod"
"16","recdevs1 <-> recdevs1",0,"sigmaR1",1,16,"recdevs1","recdevs1","2",0.616891968525805,0.065556936408774,9.41001825770555,4.96050738152608e-21,"DSEM","Cod"
"18","recdevs1 <-> recdevs1",0,"sigmaR1",1,1,"recdevs1","recdevs1","2",0.900057653876155,0.0757634457182989,11.87984053976,1.50654478776172e-32,"Base","Pollock"
"19","GOADI_spring            ->  SST_WGOA_spring",0,"GOADI_to_SST",0,1,"GOADI_spring","SST_WGOA_spring","1",-0.363958614788024,0.129221886143766,-2.81654002777132,0.00485439934724008,"DSEM","Pollock"
"21","GOADI_spring            ->  Wind_WGOA_spring",0,"GOADI_to_Wind",0,2,"GOADI_spring","Wind_WGOA_spring","1",-0.328304898561985,0.129221886143687,-2.54062921041818,0.0110653198916767,"DSEM","Pollock"
"31","GOADI_spring            ->  Upwelling_WGOA_spring",0,"GOADI_to_Up",0,3,"GOADI_spring","Upwelling_WGOA_spring","1",0.144764911490974,0.129221886143753,1.12028167836777,0.262593747080223,"DSEM","Pollock"
"41","NGAO_spring             ->  SST_WGOA_spring",0,"NGAO_to_SST",0,4,"NGAO_spring","SST_WGOA_spring","1",0.606621753021112,0.129221886143645,4.69441958420868,2.67364758812526e-06,"DSEM","Pollock"
"51","NGAO_spring             ->  Wind_WGOA_spring",0,"NGAO_to_Wind",0,5,"NGAO_spring","Wind_WGOA_spring","1",0.265650511495284,0.129221886143708,2.05577026789297,0.0398046651652567,"DSEM","Pollock"
"61","NGAO_spring             ->  Upwelling_WGOA_spring",0,"NGAO_to_Up",0,6,"NGAO_spring","Upwelling_WGOA_spring","1",-0.0779199578510102,0.129221886143743,-0.602993503471495,0.546513011020459,"DSEM","Pollock"
"71","NGAO_spring             ->  Copepods_small_spring",0,"NGAO_to_Cop",0,7,"NGAO_spring","Copepods_small_spring","1",0.142609579302036,0.159012842119382,0.896843156824835,0.369802615512659,"DSEM","Pollock"
"81","SST_WGOA_spring         ->  Copepods_small_spring",0,"SST_to_Cop",0,8,"SST_WGOA_spring","Copepods_small_spring","1",-0.103354463541495,0.142006651431366,-0.727814243204288,0.466727304386512,"DSEM","Pollock"
"91","SST_WGOA_spring         ->  recdevs1",1,"SST_to_R",0,9,"SST_WGOA_spring","recdevs1","1",0.012277670190939,0.192723813274945,0.0637060360227689,0.949204298461298,"DSEM","Pollock"
"101","Wind_WGOA_spring        ->  recdevs1",1,"Wind_to_R",0,10,"Wind_WGOA_spring","recdevs1","1",-0.0227361112145484,0.719862326782513,-0.0315839715021196,0.974803825901638,"DSEM","Pollock"
"111","Copepods_small_spring   ->  recdevs1",1,"Cop_to_R",0,11,"Copepods_small_spring","recdevs1","1",0.0315587665313198,0.170915580715821,0.184645345960543,0.853507216497772,"DSEM","Pollock"
"121","Upwelling_WGOA_spring   ->  recdevs1",1,"Up_to_R",0,12,"Upwelling_WGOA_spring","recdevs1","1",-0.180510832309388,0.109520232432562,-1.64819621270015,0.0993124137674719,"DSEM","Pollock"
"131","NGAO_spring             ->  recdevs1",1,"NGAO_to_R",0,13,"NGAO_spring","recdevs1","1",-0.00475958269007133,0.182335955228379,-0.0261033688287638,0.979174890042697,"DSEM","Pollock"
"141","GOADI_spring            ->  recdevs1",1,"GOADI_to_R",0,14,"GOADI_spring","recdevs1","1",0.0139266317658812,0.333094119977777,0.0418098997568924,0.966650243050462,"DSEM","Pollock"
"151","recdevs1 <-> recdevs1",0,"sigmaR1",1,15,"recdevs1","recdevs1","2",0.891363992320727,0.0746296603592388,11.943830214824,6.9927273220413e-33,"DSEM","Pollock"
